id,title,description,title_description,subjects,manual_label,by_subjects_count,by_title_desc_count,by_all_count,by_subjects_count_weight,by_title_desc_count_weight,by_all_count_weight,by_subjects_wmd,by_title_desc_wmd,by_all_wmd
9068,USBcat - Towards an Intrusion Surveillance Toolset,"  This paper identifies an intrusion surveillance framework which provides an
analyst with the ability to investigate and monitor cyber-attacks in a covert
manner. Where cyber-attacks are perpetrated for the purposes of espionage the
ability to understand an adversary's techniques and objectives are an important
element in network and computer security. With the appropriate toolset,
security investigators would be permitted to perform both live and stealthy
counter-intelligence operations by observing the behaviour and communications
of the intruder. Subsequently a more complete picture of the attacker's
identity, objectives, capabilities, and infiltration could be formulated than
is possible with present technologies. This research focused on developing an
extensible framework to permit the covert investigation of malware.
Additionally, a Universal Serial Bus (USB) Mass Storage Device (MSD) based
covert channel was designed to enable remote command and control of the
framework. The work was validated through the design, implementation and
testing of a toolset.
","USBcat - Towards an Intrusion Surveillance Toolset   This paper identifies an intrusion surveillance framework which provides an
analyst with the ability to investigate and monitor cyber-attacks in a covert
manner. Where cyber-attacks are perpetrated for the purposes of espionage the
ability to understand an adversary's techniques and objectives are an important
element in network and computer security. With the appropriate toolset,
security investigators would be permitted to perform both live and stealthy
counter-intelligence operations by observing the behaviour and communications
of the intruder. Subsequently a more complete picture of the attacker's
identity, objectives, capabilities, and infiltration could be formulated than
is possible with present technologies. This research focused on developing an
extensible framework to permit the covert investigation of malware.
Additionally, a Universal Serial Bus (USB) Mass Storage Device (MSD) based
covert channel was designed to enable remote command and control of the
framework. The work was validated through the design, implementation and
testing of a toolset.
",[u'computer science - cryptography and security'],2092,2092,5930,5930,8912,2092,8912,8600,5930,7626
9082,Ultra-Reliable Communication in 5G Wireless Systems,"  Wireless 5G systems will not only be ""4G, but faster"". One of the novel
features discussed in relation to 5G is Ultra-Reliable Communication (URC), an
operation mode not present in today's wireless systems. URC refers to provision
of certain level of communication service almost 100 % of the time. Example URC
applications include reliable cloud connectivity, critical connections for
industrial automation and reliable wireless coordination among vehicles. This
paper puts forward a systematic view on URC in 5G wireless systems. It starts
by analyzing the fundamental mechanisms that constitute a wireless connection
and concludes that one of the key steps towards enabling URC is revision of the
methods for encoding control information (metadata) and data. It introduces the
key concept of Reliable Service Composition, where a service is designed to
adapt its requirements to the level of reliability that can be attained. The
problem of URC is analyzed across two different dimensions. The first dimension
is the type of URC problem that is defined based on the time frame used to
measure the reliability of the packet transmission. Two types of URC problems
are identified: long-term URC (URC-L) and short-term URC (URC-S). The second
dimension is represented by the type of reliability impairment that can affect
the communication reliability in a given scenario. The main objective of this
paper is to create the context for defining and solving the new engineering
problems posed by URC in 5G.
","Ultra-Reliable Communication in 5G Wireless Systems   Wireless 5G systems will not only be ""4G, but faster"". One of the novel
features discussed in relation to 5G is Ultra-Reliable Communication (URC), an
operation mode not present in today's wireless systems. URC refers to provision
of certain level of communication service almost 100 % of the time. Example URC
applications include reliable cloud connectivity, critical connections for
industrial automation and reliable wireless coordination among vehicles. This
paper puts forward a systematic view on URC in 5G wireless systems. It starts
by analyzing the fundamental mechanisms that constitute a wireless connection
and concludes that one of the key steps towards enabling URC is revision of the
methods for encoding control information (metadata) and data. It introduces the
key concept of Reliable Service Composition, where a service is designed to
adapt its requirements to the level of reliability that can be attained. The
problem of URC is analyzed across two different dimensions. The first dimension
is the type of URC problem that is defined based on the time frame used to
measure the reliability of the packet transmission. Two types of URC problems
are identified: long-term URC (URC-L) and short-term URC (URC-S). The second
dimension is represented by the type of reliability impairment that can affect
the communication reliability in a given scenario. The main objective of this
paper is to create the context for defining and solving the new engineering
problems posed by URC in 5G.
","[u'computer science - networking and internet architecture', u'computer science - information theory']",2092,2092,991,991,8912,2092,2092,7626,7626,7626
9086,"Maintaining a Spanning Forest in Highly Dynamic Networks: The
  Synchronous Case","  Highly dynamic networks are characterized by frequent changes in the
availability of communication links. Many of these networks are in general
partitioned into several components that keep splitting and merging
continuously and unpredictably. We present an algorithm that strives to
maintain a forest of spanning trees in such networks, without any kind of
assumption on the rate of changes. Our algorithm is the adaptation of a
coarse-grain interaction algorithm (Casteigts et al., 2013) to the synchronous
message passing model (for dynamic networks). While the high-level principles
of the coarse-grain variant are preserved, the new algorithm turns out to be
significantly more complex. In particular, it involves a new technique that
consists of maintaining a distributed permutation of the set of all nodes IDs
throughout the execution. The algorithm also inherits the properties of its
original variant: It relies on purely localized decisions, for which no global
information is ever collected at the nodes, and yet it maintains a number of
critical properties whatever the frequency and scale of the changes. In
particular, the network remains always covered by a spanning forest in which 1)
no cycle can ever appear, 2) every node belongs to a tree, and 3) after an
arbitrary number of edge disappearance, all maximal subtrees immediately
restore exactly one token (at their root). These properties are ensured
whatever the dynamics, even if it keeps going for an arbitrary long period of
time. Optimality is not the focus here, however the number of tree per
components -- the metric of interest here -- eventually converges to one if the
network stops changing (which is never expected to happen, though). The
algorithm correctness is proven and its behavior is tested through
experimentation.
","Maintaining a Spanning Forest in Highly Dynamic Networks: The
  Synchronous Case   Highly dynamic networks are characterized by frequent changes in the
availability of communication links. Many of these networks are in general
partitioned into several components that keep splitting and merging
continuously and unpredictably. We present an algorithm that strives to
maintain a forest of spanning trees in such networks, without any kind of
assumption on the rate of changes. Our algorithm is the adaptation of a
coarse-grain interaction algorithm (Casteigts et al., 2013) to the synchronous
message passing model (for dynamic networks). While the high-level principles
of the coarse-grain variant are preserved, the new algorithm turns out to be
significantly more complex. In particular, it involves a new technique that
consists of maintaining a distributed permutation of the set of all nodes IDs
throughout the execution. The algorithm also inherits the properties of its
original variant: It relies on purely localized decisions, for which no global
information is ever collected at the nodes, and yet it maintains a number of
critical properties whatever the frequency and scale of the changes. In
particular, the network remains always covered by a spanning forest in which 1)
no cycle can ever appear, 2) every node belongs to a tree, and 3) after an
arbitrary number of edge disappearance, all maximal subtrees immediately
restore exactly one token (at their root). These properties are ensured
whatever the dynamics, even if it keeps going for an arbitrary long period of
time. Optimality is not the focus here, however the number of tree per
components -- the metric of interest here -- eventually converges to one if the
network stops changing (which is never expected to happen, though). The
algorithm correctness is proven and its behavior is tested through
experimentation.
","[u'computer science - distributed', u'parallel', u'and cluster computing']",2092,991,991,991,8912,2092,2092,8600,7626,7626
9088,LP/SDP Hierarchy Lower Bounds for Decoding Random LDPC Codes,"  Random (dv,dc)-regular LDPC codes are well-known to achieve the Shannon
capacity of the binary symmetric channel (for sufficiently large dv and dc)
under exponential time decoding. However, polynomial time algorithms are only
known to correct a much smaller fraction of errors. One of the most powerful
polynomial-time algorithms with a formal analysis is the LP decoding algorithm
of Feldman et al. which is known to correct an Omega(1/dc) fraction of errors.
In this work, we show that fairly powerful extensions of LP decoding, based on
the Sherali-Adams and Lasserre hierarchies, fail to correct much more errors
than the basic LP-decoder. In particular, we show that:
  1) For any values of dv and dc, a linear number of rounds of the
Sherali-Adams LP hierarchy cannot correct more than an O(1/dc) fraction of
errors on a random (dv,dc)-regular LDPC code.
  2) For any value of dv and infinitely many values of dc, a linear number of
rounds of the Lasserre SDP hierarchy cannot correct more than an O(1/dc)
fraction of errors on a random (dv,dc)-regular LDPC code.
  Our proofs use a new stretching and collapsing technique that allows us to
leverage recent progress in the study of the limitations of LP/SDP hierarchies
for Maximum Constraint Satisfaction Problems (Max-CSPs). The problem then
reduces to the construction of special balanced pairwise independent
distributions for Sherali-Adams and special cosets of balanced pairwise
independent subgroups for Lasserre.
  Some of our techniques are more generally applicable to a large class of
Boolean CSPs called Min-Ones. In particular, for k-Hypergraph Vertex Cover, we
obtain an improved integrality gap of $k-1-\epsilon$ that holds after a
\emph{linear} number of rounds of the Lasserre hierarchy, for any k = q+1 with
q an arbitrary prime power. The best previous gap for a linear number of rounds
was equal to $2-\epsilon$ and due to Schoenebeck.
","LP/SDP Hierarchy Lower Bounds for Decoding Random LDPC Codes   Random (dv,dc)-regular LDPC codes are well-known to achieve the Shannon
capacity of the binary symmetric channel (for sufficiently large dv and dc)
under exponential time decoding. However, polynomial time algorithms are only
known to correct a much smaller fraction of errors. One of the most powerful
polynomial-time algorithms with a formal analysis is the LP decoding algorithm
of Feldman et al. which is known to correct an Omega(1/dc) fraction of errors.
In this work, we show that fairly powerful extensions of LP decoding, based on
the Sherali-Adams and Lasserre hierarchies, fail to correct much more errors
than the basic LP-decoder. In particular, we show that:
  1) For any values of dv and dc, a linear number of rounds of the
Sherali-Adams LP hierarchy cannot correct more than an O(1/dc) fraction of
errors on a random (dv,dc)-regular LDPC code.
  2) For any value of dv and infinitely many values of dc, a linear number of
rounds of the Lasserre SDP hierarchy cannot correct more than an O(1/dc)
fraction of errors on a random (dv,dc)-regular LDPC code.
  Our proofs use a new stretching and collapsing technique that allows us to
leverage recent progress in the study of the limitations of LP/SDP hierarchies
for Maximum Constraint Satisfaction Problems (Max-CSPs). The problem then
reduces to the construction of special balanced pairwise independent
distributions for Sherali-Adams and special cosets of balanced pairwise
independent subgroups for Lasserre.
  Some of our techniques are more generally applicable to a large class of
Boolean CSPs called Min-Ones. In particular, for k-Hypergraph Vertex Cover, we
obtain an improved integrality gap of $k-1-\epsilon$ that holds after a
\emph{linear} number of rounds of the Lasserre hierarchy, for any k = q+1 with
q an arbitrary prime power. The best previous gap for a linear number of rounds
was equal to $2-\epsilon$ and due to Schoenebeck.
","[u'computer science - computational complexity', u'computer science - information theory']",2092,991,991,991,8912,8600,8912,7626,7626,7626
9093,"Numerical Fitting-based Likelihood Calculation to Speed up the Particle
  Filter","  The likelihood calculation of a vast number of particles is the computational
bottleneck for the particle filter in applications where the observation
information is rich. For fast computing the likelihood of particles, a
numerical fitting approach is proposed to construct the Likelihood Probability
Density Function (Li-PDF) by using a comparably small number of so-called
fulcrums. The likelihood of particles is thereby analytically inferred,
explicitly or implicitly, based on the Li-PDF instead of directly computed by
utilizing the observation, which can significantly reduce the computation and
enables real time filtering. The proposed approach guarantees the estimation
quality when an appropriate fitting function and properly distributed fulcrums
are used. The details for construction of the fitting function and fulcrums are
addressed respectively in detail. In particular, to deal with multivariate
fitting, the nonparametric kernel density estimator is presented which is
flexible and convenient for implicit Li-PDF implementation. Simulation
comparison with a variety of existing approaches on a benchmark 1-dimensional
model and multi-dimensional robot localization and visual tracking demonstrate
the validity of our approach.
","Numerical Fitting-based Likelihood Calculation to Speed up the Particle
  Filter   The likelihood calculation of a vast number of particles is the computational
bottleneck for the particle filter in applications where the observation
information is rich. For fast computing the likelihood of particles, a
numerical fitting approach is proposed to construct the Likelihood Probability
Density Function (Li-PDF) by using a comparably small number of so-called
fulcrums. The likelihood of particles is thereby analytically inferred,
explicitly or implicitly, based on the Li-PDF instead of directly computed by
utilizing the observation, which can significantly reduce the computation and
enables real time filtering. The proposed approach guarantees the estimation
quality when an appropriate fitting function and properly distributed fulcrums
are used. The details for construction of the fitting function and fulcrums are
addressed respectively in detail. In particular, to deal with multivariate
fitting, the nonparametric kernel density estimator is presented which is
flexible and convenient for implicit Li-PDF implementation. Simulation
comparison with a variety of existing approaches on a benchmark 1-dimensional
model and multi-dimensional robot localization and visual tracking demonstrate
the validity of our approach.
","[u'computer science - information theory', u'computer science - numerical analysis']",2092,2092,8600,8600,8912,2092,8912,7626,7626,7626
9094,"Capacity of Diffusion based Molecular Communication Networks over
  LTI-Poisson Channels","  In this paper, the capacity of a diffusion based molecular communication
network under the model of a Linear Time Invarient-Poisson (LTI-Poisson)
channel is studied. Introduced in the context of molecular communication, the
LTI-Poisson model is a natural extension of the conventional memoryless Poisson
channel to include memory. Exploiting prior art on linear ISI channels, a
computable finite-letter characterization of the capacity of single-hop
LTI-Poisson networks is provided. Then, the problem of finding more explicit
bounds on the capacity is examined, where lower and upper bounds for the point
to point case are provided. Furthermore, an approach for bounding mutual
information in the low SNR regime using the symmetrized KL divergence is
introduced and its applicability to Poisson channels is shown. To best of our
knowledge, the first non-trivial upper bound on the capacity of Poisson channel
with a maximum transmission constraint in the low SNR regime is found.
Numerical results show that the proposed upper bound is of the same order as
the capacity in the low SNR regime.
","Capacity of Diffusion based Molecular Communication Networks over
  LTI-Poisson Channels   In this paper, the capacity of a diffusion based molecular communication
network under the model of a Linear Time Invarient-Poisson (LTI-Poisson)
channel is studied. Introduced in the context of molecular communication, the
LTI-Poisson model is a natural extension of the conventional memoryless Poisson
channel to include memory. Exploiting prior art on linear ISI channels, a
computable finite-letter characterization of the capacity of single-hop
LTI-Poisson networks is provided. Then, the problem of finding more explicit
bounds on the capacity is examined, where lower and upper bounds for the point
to point case are provided. Furthermore, an approach for bounding mutual
information in the low SNR regime using the symmetrized KL divergence is
introduced and its applicability to Poisson channels is shown. To best of our
knowledge, the first non-trivial upper bound on the capacity of Poisson channel
with a maximum transmission constraint in the low SNR regime is found.
Numerical results show that the proposed upper bound is of the same order as
the capacity in the low SNR regime.
",[u'computer science - information theory'],2092,2092,8600,991,8912,2092,8912,7626,7626,7626
9102,Weighted sampling of outer products,"  This note gives a simple analysis of the randomized approximation scheme for
matrix multiplication of Drineas et al (2006) with a particular sampling
distribution over outer products. The result follows from a matrix version of
Bernstein's inequality. To approximate the matrix product $AB^\top$ to spectral
norm error $\varepsilon\|A\|\|B\|$, it suffices to sample on the order of
$(\mathrm{sr}(A) \vee \mathrm{sr}(B)) \log(\mathrm{sr}(A) \wedge
\mathrm{sr}(B)) / \varepsilon^2$ outer products, where $\mathrm{sr}(M)$ is the
stable rank of a matrix $M$.
","Weighted sampling of outer products   This note gives a simple analysis of the randomized approximation scheme for
matrix multiplication of Drineas et al (2006) with a particular sampling
distribution over outer products. The result follows from a matrix version of
Bernstein's inequality. To approximate the matrix product $AB^\top$ to spectral
norm error $\varepsilon\|A\|\|B\|$, it suffices to sample on the order of
$(\mathrm{sr}(A) \vee \mathrm{sr}(B)) \log(\mathrm{sr}(A) \wedge
\mathrm{sr}(B)) / \varepsilon^2$ outer products, where $\mathrm{sr}(M)$ is the
stable rank of a matrix $M$.
",[u'computer science - data structures and algorithms'],2092,991,5930,991,8912,8600,8912,7626,7626,7626
9123,A Comprehensive Survey of Recent Advancements in Molecular Communication,"  In molecular communication, information is conveyed through chemical
messages. With significant advances in the fields of nanotechnology,
bioengineering, and synthetic biology over the past decade, microscale and
nanoscale devices are becoming a reality. Yet the problem of engineering a
reliable communication system between tiny devices is still an open problem. At
the same time, despite the prevalence of radio communication, there are still
areas where traditional electromagnetic waves find it inefficient or expensive
to reach. Points of interest in industry, cities, medicine, and military
applications often lie in embedded and entrenched areas, accessible only by
ventricles at scales too small for conventional wave based communications, or
they are structured in such a way that directional high frequency systems are
ineffective. Molecular communication is a biologically inspired communication
scheme that could be employed for solving these problems. Although biologists
have studied molecular communication, it is poorly understood from a
telecommunication perspective. In this paper, we highlight the recent
advancements in the field of molecular communication engineering.
","A Comprehensive Survey of Recent Advancements in Molecular Communication   In molecular communication, information is conveyed through chemical
messages. With significant advances in the fields of nanotechnology,
bioengineering, and synthetic biology over the past decade, microscale and
nanoscale devices are becoming a reality. Yet the problem of engineering a
reliable communication system between tiny devices is still an open problem. At
the same time, despite the prevalence of radio communication, there are still
areas where traditional electromagnetic waves find it inefficient or expensive
to reach. Points of interest in industry, cities, medicine, and military
applications often lie in embedded and entrenched areas, accessible only by
ventricles at scales too small for conventional wave based communications, or
they are structured in such a way that directional high frequency systems are
ineffective. Molecular communication is a biologically inspired communication
scheme that could be employed for solving these problems. Although biologists
have studied molecular communication, it is poorly understood from a
telecommunication perspective. In this paper, we highlight the recent
advancements in the field of molecular communication engineering.
",[u'computer science - emerging technologies'],2092,991,991,991,8912,3208,8912,7626,5930,5930
9125,Online Network Design Algorithms via Hierarchical Decompositions,"  We develop a new approach for online network design and obtain improved
competitive ratios for several problems. Our approach gives natural
deterministic algorithms and simple analyses. At the heart of our work is a
novel application of embeddings into hierarchically well-separated trees (HSTs)
to the analysis of online network design algorithms --- we charge the cost of
the algorithm to the cost of the optimal solution on any HST embedding of the
terminals. This analysis technique is widely applicable to many problems and
gives a unified framework for online network design.
  In a sense, our work brings together two of the main approaches to online
network design. The first uses greedy-like algorithms and analyzes them using
dual-fitting. The second uses tree embeddings and results in randomized $O(\log
n)$-competitive algorithms, where $n$ is the total number of vertices in the
graph. Our approach uses deterministic greedy-like algorithms but analyzes them
via HST embeddings of the terminals. Our proofs are simpler as we do not need
to carefully construct dual solutions and we get $O(\log k)$ competitive
ratios, where $k$ is the number of terminals.
  In this paper, we apply our approach to obtain deterministic $O(\log
k)$-competitive online algorithms for the following problems.
  - Steiner network with edge duplication. Previously, only a randomized
$O(\log n)$-competitive algorithm was known.
  - Rent-or-buy. Previously, only deterministic $O(\log^2 k)$-competitive and
randomized $O(\log k)$-competitive algorithms by Awerbuch, Azar and Bartal
(2004) were known.
  - Connected facility location. Previously, only a randomized $O(\log^2
k)$-competitive algorithm by San Felice, Williamson and Lee (2014) was known.
  - Prize-collecting Steiner forest. We match the competitive ratio first
achieved by Qian and Williamson (2011) and give a simpler analysis.
","Online Network Design Algorithms via Hierarchical Decompositions   We develop a new approach for online network design and obtain improved
competitive ratios for several problems. Our approach gives natural
deterministic algorithms and simple analyses. At the heart of our work is a
novel application of embeddings into hierarchically well-separated trees (HSTs)
to the analysis of online network design algorithms --- we charge the cost of
the algorithm to the cost of the optimal solution on any HST embedding of the
terminals. This analysis technique is widely applicable to many problems and
gives a unified framework for online network design.
  In a sense, our work brings together two of the main approaches to online
network design. The first uses greedy-like algorithms and analyzes them using
dual-fitting. The second uses tree embeddings and results in randomized $O(\log
n)$-competitive algorithms, where $n$ is the total number of vertices in the
graph. Our approach uses deterministic greedy-like algorithms but analyzes them
via HST embeddings of the terminals. Our proofs are simpler as we do not need
to carefully construct dual solutions and we get $O(\log k)$ competitive
ratios, where $k$ is the number of terminals.
  In this paper, we apply our approach to obtain deterministic $O(\log
k)$-competitive online algorithms for the following problems.
  - Steiner network with edge duplication. Previously, only a randomized
$O(\log n)$-competitive algorithm was known.
  - Rent-or-buy. Previously, only deterministic $O(\log^2 k)$-competitive and
randomized $O(\log k)$-competitive algorithms by Awerbuch, Azar and Bartal
(2004) were known.
  - Connected facility location. Previously, only a randomized $O(\log^2
k)$-competitive algorithm by San Felice, Williamson and Lee (2014) was known.
  - Prize-collecting Steiner forest. We match the competitive ratio first
achieved by Qian and Williamson (2011) and give a simpler analysis.
",[u'computer science - data structures and algorithms'],2092,991,991,991,8912,8600,8912,7626,7626,7626
9130,Diffusive Molecular Communication with Disruptive Flows,"  In this paper, we study the performance of detectors in a diffusive molecular
communication environment where steady uniform flow is present. We derive the
expected number of information molecules to be observed in a passive spherical
receiver, and determine the impact of flow on the assumption that the
concentration of molecules throughout the receiver is uniform. Simulation
results show the impact of advection on detector performance as a function of
the flow's magnitude and direction. We highlight that there are disruptive
flows, i.e., flows that are not in the direction of information transmission,
that lead to an improvement in detector performance as long as the disruptive
flow does not dominate diffusion and sufficient samples are taken.
","Diffusive Molecular Communication with Disruptive Flows   In this paper, we study the performance of detectors in a diffusive molecular
communication environment where steady uniform flow is present. We derive the
expected number of information molecules to be observed in a passive spherical
receiver, and determine the impact of flow on the assumption that the
concentration of molecules throughout the receiver is uniform. Simulation
results show the impact of advection on detector performance as a function of
the flow's magnitude and direction. We highlight that there are disruptive
flows, i.e., flows that are not in the direction of information transmission,
that lead to an improvement in detector performance as long as the disruptive
flow does not dominate diffusion and sufficient samples are taken.
",[u'computer science - information theory'],2092,2092,991,991,8912,2092,8912,7626,5930,7626
9145,"MIMO Broadcasting for Simultaneous Wireless Information and Power
  Transfer: Weighted MMSE Approaches","  We consider simultaneous wireless information and power transfer (SWIPT) in
MIMO Broadcast networks where one energy harvesting (EH) user and one
information decoding (ID) user share the same time and frequency resource. In
contrast to previous SWIPT systems based on the information rate, this paper
addresses the problem in terms of the weighted minimum mean squared error
(WMMSE) criterion. First, we formulate the WMMSE-SWIPT problem which minimizes
the weighted sum-MSE of the message signal arrived at the ID user, while
satisfying the requirement on the energy that can be harvested from the signal
at the EH user. Then, we propose the optimal precoder structure of the problem
and identify the best possible MSE-energy tradeoff region through the
alternative update of the linear precoder at the transmitter with the linear
receiver at the ID user. From the derived solution, several interesting
observations are made compared to the conventional SWIPT designs.
","MIMO Broadcasting for Simultaneous Wireless Information and Power
  Transfer: Weighted MMSE Approaches   We consider simultaneous wireless information and power transfer (SWIPT) in
MIMO Broadcast networks where one energy harvesting (EH) user and one
information decoding (ID) user share the same time and frequency resource. In
contrast to previous SWIPT systems based on the information rate, this paper
addresses the problem in terms of the weighted minimum mean squared error
(WMMSE) criterion. First, we formulate the WMMSE-SWIPT problem which minimizes
the weighted sum-MSE of the message signal arrived at the ID user, while
satisfying the requirement on the energy that can be harvested from the signal
at the EH user. Then, we propose the optimal precoder structure of the problem
and identify the best possible MSE-energy tradeoff region through the
alternative update of the linear precoder at the transmitter with the linear
receiver at the ID user. From the derived solution, several interesting
observations are made compared to the conventional SWIPT designs.
",[u'computer science - information theory'],2092,2092,8600,8600,8912,2092,2092,7626,7626,7626
9148,"Competitive Comparison of Optimal Designs of Experiments for
  Sampling-based Sensitivity Analysis","  Nowadays, the numerical models of real-world structures are more precise,
more complex and, of course, more time-consuming. Despite the growth of a
computational effort, the exploration of model behaviour remains a complex
task. The sensitivity analysis is a basic tool for investigating the
sensitivity of the model to its inputs. One widely used strategy to assess the
sensitivity is based on a finite set of simulations for a given sets of input
parameters, i.e. points in the design space. An estimate of the sensitivity can
be then obtained by computing correlations between the input parameters and the
chosen response of the model. The accuracy of the sensitivity prediction
depends on the choice of design points called the design of experiments. The
aim of the presented paper is to review and compare available criteria
determining the quality of the design of experiments suitable for
sampling-based sensitivity analysis.
","Competitive Comparison of Optimal Designs of Experiments for
  Sampling-based Sensitivity Analysis   Nowadays, the numerical models of real-world structures are more precise,
more complex and, of course, more time-consuming. Despite the growth of a
computational effort, the exploration of model behaviour remains a complex
task. The sensitivity analysis is a basic tool for investigating the
sensitivity of the model to its inputs. One widely used strategy to assess the
sensitivity is based on a finite set of simulations for a given sets of input
parameters, i.e. points in the design space. An estimate of the sensitivity can
be then obtained by computing correlations between the input parameters and the
chosen response of the model. The accuracy of the sensitivity prediction
depends on the choice of design points called the design of experiments. The
aim of the presented paper is to review and compare available criteria
determining the quality of the design of experiments suitable for
sampling-based sensitivity analysis.
","[u'computer science - computational engineering', u'statistics - methodology', u'finance', u'and science', u'computer science - numerical analysis']",2092,991,991,7626,8912,2092,8912,7626,7626,7626
9150,"XSS Peeker: A Systematic Analysis of Cross-site Scripting Vulnerability
  Scanners","  Since the first publication of the ""OWASP Top 10"" (2004), cross-site
scripting (XSS) vulnerabilities have always been among the top 5 web
application security bugs. Black-box vulnerability scanners are widely used in
the industry to reproduce (XSS) attacks automatically. In spite of the
technical sophistication and advancement, previous work showed that black-box
scanners miss a non-negligible portion of vulnerabilities, and report
non-existing, non-exploitable or uninteresting vulnerabilities. Unfortunately,
these results hold true even for XSS vulnerabilities, which are relatively
simple to trigger if compared, for instance, to logic flaws.
  Black-box scanners have not been studied in depth on this vertical: knowing
precisely how scanners try to detect XSS can provide useful insights to
understand their limitations, to design better detection methods. In this
paper, we present and discuss the results of a detailed and systematic study on
6 black-box web scanners (both proprietary and open source) that we conducted
in coordination with the respective vendors. To this end, we developed an
automated tool to (1) extract the payloads used by each scanner, (2) distill
the ""templates"" that have originated each payload, (3) evaluate them according
to quality indicators, and (4) perform a cross-scanner analysis. Unlike
previous work, our testbed application, which contains a large set of XSS
vulnerabilities, including DOM XSS, was gradually retrofitted to accomodate for
the payloads that triggered no vulnerabilities.
  Our analysis reveals a highly fragmented scenario. Scanners exhibit a wide
variety of distinct payloads, a non-uniform approach to fuzzing and mutating
the payloads, and a very diverse detection effectiveness.
","XSS Peeker: A Systematic Analysis of Cross-site Scripting Vulnerability
  Scanners   Since the first publication of the ""OWASP Top 10"" (2004), cross-site
scripting (XSS) vulnerabilities have always been among the top 5 web
application security bugs. Black-box vulnerability scanners are widely used in
the industry to reproduce (XSS) attacks automatically. In spite of the
technical sophistication and advancement, previous work showed that black-box
scanners miss a non-negligible portion of vulnerabilities, and report
non-existing, non-exploitable or uninteresting vulnerabilities. Unfortunately,
these results hold true even for XSS vulnerabilities, which are relatively
simple to trigger if compared, for instance, to logic flaws.
  Black-box scanners have not been studied in depth on this vertical: knowing
precisely how scanners try to detect XSS can provide useful insights to
understand their limitations, to design better detection methods. In this
paper, we present and discuss the results of a detailed and systematic study on
6 black-box web scanners (both proprietary and open source) that we conducted
in coordination with the respective vendors. To this end, we developed an
automated tool to (1) extract the payloads used by each scanner, (2) distill
the ""templates"" that have originated each payload, (3) evaluate them according
to quality indicators, and (4) perform a cross-scanner analysis. Unlike
previous work, our testbed application, which contains a large set of XSS
vulnerabilities, including DOM XSS, was gradually retrofitted to accomodate for
the payloads that triggered no vulnerabilities.
  Our analysis reveals a highly fragmented scenario. Scanners exhibit a wide
variety of distinct payloads, a non-uniform approach to fuzzing and mutating
the payloads, and a very diverse detection effectiveness.
",[u'computer science - cryptography and security'],2092,2092,8600,8600,8912,8912,8912,8600,7626,7626
9162,"Multi-Gigabits Millimetre Wave Wireless Communications for 5G: From
  Fixed Access to Cellular Networks","  With the formidable growth of various booming wireless communication services
that require ever-increasing data throughputs, the conventional microwave band
below 10 GHz, which is currently used by almost all mobile communication
systems, is going to reach its saturation point within just a few years.
Therefore, the attention of radio system designers has been pushed towards
ever-higher segments of the frequency spectrum in a quest for capacity
increase. In this article, we investigate the feasibility, advantages and
challenges of future wireless communications over the E-band frequencies. We
start from a brief review of the history of E-band spectrum and its light
licensing policy as well as benefits/challenges. Then we introduce the
propagation characteristics of E-band signals, based on which some potential
fixed and mobile applications at the E-band are investigated. In particular, we
analyze the achievability of non-trivial multiplexing gain in fixed
point-to-point E-band links and propose an E-band mobile broadband (EMB) system
as a candidate for the next generation mobile communication networks. The
channelization and frame structure of the EMB system are discussed in details.
","Multi-Gigabits Millimetre Wave Wireless Communications for 5G: From
  Fixed Access to Cellular Networks   With the formidable growth of various booming wireless communication services
that require ever-increasing data throughputs, the conventional microwave band
below 10 GHz, which is currently used by almost all mobile communication
systems, is going to reach its saturation point within just a few years.
Therefore, the attention of radio system designers has been pushed towards
ever-higher segments of the frequency spectrum in a quest for capacity
increase. In this article, we investigate the feasibility, advantages and
challenges of future wireless communications over the E-band frequencies. We
start from a brief review of the history of E-band spectrum and its light
licensing policy as well as benefits/challenges. Then we introduce the
propagation characteristics of E-band signals, based on which some potential
fixed and mobile applications at the E-band are investigated. In particular, we
analyze the achievability of non-trivial multiplexing gain in fixed
point-to-point E-band links and propose an E-band mobile broadband (EMB) system
as a candidate for the next generation mobile communication networks. The
channelization and frame structure of the EMB system are discussed in details.
",[u'computer science - networking and internet architecture'],2092,2092,991,991,8912,2092,8912,7626,2092,5930
